ticket_id,customer_id,ticket_date,issue_type,issue_description,priority,ticket_status,resolution_days
TICK000001,CUST0002,2025-06-15,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,0
TICK000002,CUST0002,2025-05-29,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Closed,5
TICK000003,CUST0002,2024-12-10,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Critical,In Progress,
TICK000004,CUST0002,2024-10-19,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,5
TICK000005,CUST0002,2026-02-24,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,10
TICK000006,CUST0002,2024-09-25,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Low,Closed,8
TICK000007,CUST0002,2025-04-16,Billing,Customer disputed an unexpected charge on the monthly bill.,Low,Closed,5
TICK000008,CUST0003,2023-06-04,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,0
TICK000009,CUST0004,2022-04-10,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,9
TICK000010,CUST0005,2026-05-13,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,In Progress,
TICK000011,CUST0006,2022-03-26,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,0
TICK000012,CUST0007,2024-01-21,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,4
TICK000013,CUST0007,2023-05-15,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,In Progress,
TICK000014,CUST0007,2023-03-03,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,In Progress,
TICK000015,CUST0007,2024-11-20,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Open,
TICK000016,CUST0007,2024-12-10,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,In Progress,
TICK000017,CUST0007,2023-10-12,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Open,
TICK000018,CUST0008,2023-08-21,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,6
TICK000019,CUST0008,2025-11-29,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,10
TICK000020,CUST0008,2021-12-07,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,9
TICK000021,CUST0009,2025-05-27,Internet,Customer reported that internet service is working well after recent upgrade.,Medium,Open,
TICK000022,CUST0009,2020-02-20,Service Outage,Customer confirmed service was restored after the outage notification.,Low,Closed,6
TICK000023,CUST0010,2025-11-25,Mobile,Customer asked about mobile data usage shown on the account.,Medium,Closed,3
TICK000024,CUST0011,2026-01-16,Service Outage,Customer reported internet and TV outage affecting remote work.,Critical,Closed,1
TICK000025,CUST0012,2025-09-23,Service Outage,Customer confirmed service was restored after the outage notification.,Medium,Closed,5
TICK000026,CUST0013,2024-04-11,Mobile,Customer complained that mobile data was slower than expected.,Low,Closed,2
TICK000027,CUST0014,2026-04-18,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,In Progress,
TICK000028,CUST0014,2024-08-18,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,In Progress,
TICK000029,CUST0014,2025-12-29,Billing,Customer was frustrated that payment was posted but balance still showed due.,Low,Closed,6
